label,file_path,height,width,channels
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana102.jpg,187,269,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana10.jpg,267,189,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana101.jpg,194,259,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana0.jpg,665,1000,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana1.jpg,640,640,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana103.jpg,183,275,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana100.jpg,248,425,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana104.jpg,540,540,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana105.jpg,1440,1920,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana12.jpg,183,275,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana107.jpg,1200,1200,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana118.jpg,233,216,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana110.jpg,920,827,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana114.jpg,195,258,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana113.jpg,1920,2560,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana108.jpg,188,268,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana11.jpg,168,299,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana115.jpg,183,275,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana106.jpg,194,259,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana109.jpg,836,1254,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana119.jpg,159,318,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana120.jpg,641,700,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana112.jpg,158,319,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana111.jpg,279,181,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana117.jpg,854,640,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana116.jpg,836,1254,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana132.jpg,563,1000,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana138.jpg,534,800,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana14.jpg,225,225,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana122.jpg,320,320,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana126.jpg,235,215,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana127.jpg,2002,3000,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana121.jpg,225,225,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana135.jpg,183,275,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana139.jpg,900,1200,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana125.jpg,159,317,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana129.jpg,2245,1587,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana131.jpg,201,251,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana130.jpg,173,291,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana133.jpg,568,1628,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana137.jpg,191,263,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana13.jpg,168,300,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana124.jpg,183,275,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana136.jpg,183,275,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana128.jpg,168,299,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana123.jpg,800,800,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana134.jpg,558,830,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana151.jpg,225,300,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana153.jpg,500,1000,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana155.jpg,700,700,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana143.jpg,683,1024,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana157.jpg,215,235,3
banana,/content/drive/MyDrive/INDIVIDUALES/ISMA/KOKAS/FRUTAS/train/banana/banana149.jpg,259,194,3
